Title,Image,Avatar_URL,crvsd,ui_header_link,default,phmbo,phmbo1,dmrsr,dmrsr2,dmrsr3,qwuub_URL,qwuub,tehyy,xcjrc,Rating
"I was excited to hear there was a non-stop from New York to Nairobi, which cuts down my travel time a lot. I expected this to be a top-notch pull-out-all-the-stops kind of flight, but - well - it wasn't really. All the basis were there (lie-flat seat, for example), but most not very high quality.
Starting with check-in: there wasn't any capacity to get my boarding-pass marked with TSA pre-check (apparently because new to JFK), and they weren't even sure that my business-class ticket would get me in a shorter line. It did, but not much shorter!
The lounge we use is 15 minutes' walk to the gate.
No separate line for boarding business-class passengers.
When I got on, it was hard to find someone to take my jacket.
There was (as said) a lie-flat seat, but the controls were hard to make work, and hard to get the - tiny - screen out.
The amenity kit was small, no slippers.
Staff varied - great chief steward, reluctant and apparently resentful other staff.
Small - though quite interesting - movie collection. Mostly small-budget films.
OK meals (help me not to put on weight), but no espresso.
All in all, it was fine, but I expected the very best on this new and presumably prestigious run!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e8/5b/default-avatar-2020-61.jpg,https://www.tripadvisor.com/Profile/mcwcBaku,mcwcBaku wrote a review Sep 2019,mcwcBaku,"Hartsdale, New York",249 contributions,119 helpful votes,New York City - Nairobi,International,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r712282499-Kenya_Airways-World.html,Quite good but not really a flagship kind of flight,Date of travel: June 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"We got delayed for take off over 5 hrs and landed later than we had planned.  The flight was full and uncomfortable.  I hated flying... felt like i was in a box, even got food poisoning on the leg back... avoid the fish",https://media-cdn.tripadvisor.com/media/photo-o/13/34/9b/a5/tina-o.jpg,https://www.tripadvisor.com/Profile/tinao202,Tina O wrote a review Sep 2019,Tina O,"Nairobi, Kenya",149 contributions,42 helpful votes,Nairobi - Accra,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r712181767-Kenya_Airways-World.html,Why i wonder,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"i would not recommend using kenya airline in any incidents. They are by far one of the worst airline you can think of and even their airport is hurrendous. I was flying from addis to kenya to seychelles and during my transit i have 1.5 hours transit in kenya, but because kenyan airlines were late to depature, i had to run to gate to catch my flight. They are always late to depature, to land and even get you through security. i would not reommend it at all. one of the worst experiences ever.

I do say that the flight attendants were all very nice with great customer service. The food was good as well.

i just dont trust their airline or airport period.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ef/32/default-avatar-2020-12.jpg,https://www.tripadvisor.com/Profile/R3789UAalexandraa,Alexandra A wrote a review Sep 2019,Alexandra A,,1 contribution,1 helpful vote,Addis Ababa - Nairobi,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r711402478-Kenya_Airways-World.html,DO NOT DO IT,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"It was the first time I flown with this airline. Great experience, a big Aircraft , very comfortable seats, all the comforts and very good service!",https://media-cdn.tripadvisor.com/media/photo-t/01/b6/83/23/iosonofrancy.jpg,https://www.tripadvisor.com/Profile/iosonofrancy,iosonofrancy wrote a review Sep 2019,iosonofrancy,"Rome, Italy",233 contributions,46 helpful votes,Rome - Mahebourg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r711321921-Kenya_Airways-World.html,Very good experience,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
Generally had a great flight experience but the layover at Freetown was a bit tiring and ground staff not very courteous.,https://media-cdn.tripadvisor.com/media/photo-o/10/ed/66/90/mutisya-m.jpg,https://www.tripadvisor.com/Profile/muts_mutisya,Mutisya M wrote a review Sep 2019,Mutisya M,"Athi River, Kenya",94 contributions,12 helpful votes,Accra - Monrovia,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710933626-Kenya_Airways-World.html,Great flight experience but need to imprve on flights with layovers,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Departed and arrived on time, very smooth ride and friendly stewardesses. The food and drinks were also great.",https://media-cdn.tripadvisor.com/media/photo-o/10/ed/66/90/mutisya-m.jpg,https://www.tripadvisor.com/Profile/muts_mutisya,Mutisya M wrote a review Sep 2019,Mutisya M,"Athi River, Kenya",94 contributions,12 helpful votes,Nairobi - Accra,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710932834-Kenya_Airways-World.html,Great in-flight experience!,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
I was given a compensation voucher and when we alight at Kenya airport. I gave it to them and they made me fill a form but as at now nothing is heard from you,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/7c/01/default-avatar-2020-5.jpg,https://www.tripadvisor.com/Profile/894princea,Prince Asare Boateng wrote a review Sep 2019,Prince Asare Boateng,,2 contributions,,Accra - Dubai,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710887660-Kenya_Airways-World.html,Tourism,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"We flew to and from New York to Nairobi with Kenya Airways and in my opinion, the company has much to improve on from the customer's point of view.
Starting in New York, we arrived at the terminal 3 hours early. Our boarding pass only indicated the terminal and not the gate. So, we sat in terminal 4 waiting for the screens and the online flight trackers to show the gate number. As the flight departure got closer, the gate number still never showed up in the screens or online. As a result, we almost missed our flight. The only way found out was that the gate agent called my cellphone to inform me that the doors were about to close and to run to the gate as fast as we can. When I told the gate agent about the lack of information, they didn't seem to care.
The food inflight was mediocre to poor quality. If you want to eat something decent, order the vegan option which is fruit. That seemed to be the only good meal option.
The bathrooms got dirty mid flight. One had water all over the floor. A couple of them had ran out of soap and toilet paper.

We arrived early to check in at the desk for our return flight because they wouldn't let us check in online only to be told to wait until 6pm to check in. We returned to the desk at 6pm as told but we were told to go somewhere else as the check in was still not open. At 6:30, someone finally came to the check in desk, but we had to still wait longer as the travel document checker was still not there.
At check in, the agent told us that the boarding time was 2 hours before departure due to additional security measures (after the main secuirty). Of course, the secondary security agents were also 45 minutes late and after we passed through this security checkpoint, we had to wait another hour or so to board to plane.
You could have guessed this already, but the flight also departed 30+ minutes late.
At arrival in New York, after they opened the cabin door, a cabin crew member commanded everyone to return to their seats and put their luggage away without explanation. We were to wait around again.
The only positive thing I can say about Kenya Airways is that they have non-stop flights between JFK and Nairobi, but I might choose another airline if Kenya Airways stays as disorganized and as poor in their customer service skills.",https://media-cdn.tripadvisor.com/media/photo-t/18/ba/3f/ae/caption.jpg,https://www.tripadvisor.com/Profile/seeeyes,Dani wrote a review Sep 2019,Dani,"Spring Lake, New Jersey",42 contributions,10 helpful votes,New York City - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710885855-Kenya_Airways-World.html,An airline with poor customer service and organization,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"Early morning at Nairobi’s Terminal 1A wasn’t too crowded although try to avoid the first two of several security x-ray lanes once you’ve ascended to the first floor after Immigration for there is no dedicated Airline Crew Lane and crew will walk to the front of the passenger queues and jump in.  That means a lot of crew members at busy times and passengers have to wait.Boarding the 787 was strictly by seat row numbers which really made the boarding process a breeze and the fully laden aircraft was ready to leave ahead of schedule.  Following take-off, a breakfast snack was served: a choice of chicken or vegetarian (small) pastie and a small cake with hot/cold/alcoholic drinks (seated at the rear and receiving all food/drink services last, I was unsure whether passengers at the front had a third choice – usually KQ offer that).  A hot dinner (choice of chicken or vegetarian Bake) was served 3 hours before arrival and, again, not sure if a 3rd choice was initially available.  Just two drink rounds during the 8-hour flight although drinks could be collected from the rear galley throughout.  I’d describe KQs food as basic and bland although I took my own food on board as I know what this airline's offering can be like.With the exception of one uncommunicative and unhappy looking individual whose name badge announced ‘Sylvia’, the all-female Cabin Crew were cheerful and appeared to enjoy their work.  Little information came from the Flight Deck.An on-time arrival into Amsterdam on to a very convenient ‘E’ Gate next to the Terminal hub with a wide range of comfortable facilities and friendly staff.  AMS is one of the best transit airports in Europe.",https://media-cdn.tripadvisor.com/media/photo-t/10/fa/3d/80/simbal09.jpg,https://www.tripadvisor.com/Profile/Simbal09,Simbal09 wrote a review Sep 2019,Simbal09,"London, United Kingdom",160 contributions,109 helpful votes,Nairobi - Amsterdam,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710832980-Kenya_Airways-World.html,Satisfactory,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"My flight from Dubai to Nairobi was delayed by 2 hours on Sunday morning. I missed my connecting flight to Johannesburg. I should have been in Johannesburg by 16:30 on Sunday. The next suitable flight was only on Monday at 7:45 AM. I stayed at a hotel but when I got to the airport in Nairobi on Monday morning I was told the 7:45 flight was cancelled. I would have to wait till 13:15 to catch the next flight to Johannesburg. Nairobi airport is ugly, crowded and an unpleasant place for a 7 hour wait. I got to Johannesburg 24 hours after I was supposed to be there. 36 hours in transit is not fun. It was supposed to be a 12 hour journey.

Many flights were cancelled on Monday morning in Nairobi. There were many angry people around waiting and waiting to catch the next flight. I heard and read in the news that Kenya airways have lost numerous pilots to middle eastern airlines. They cancel flights because they don’t have enough pilots to fly them. Their pilots are reported to be unhappy.

I am supposed to fly back to Dubai on Kenya Airways. I am hoping to change the ticket and to fly with another more reliable airline.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/e3/default-avatar-2020-59.jpg,https://www.tripadvisor.com/Profile/449itsc,IT's C wrote a review Sep 2019,IT's C,"Sandton, South Africa",40 contributions,41 helpful votes,Dubai - Johannesburg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710523863-Kenya_Airways-World.html,Cancellations & Delays of flights is NORMAL with Kenya Airways,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
My wife and i visited South Africa form Kuwait via Nairobi. The Kuwait - Nairobi trip is great with new plane and entertainment but the second part of the trip from Nairobi to Johannesburg not good at all...,https://media-cdn.tripadvisor.com/media/photo-t/05/11/a7/6c/dcermelli.jpg,https://www.tripadvisor.com/Profile/DCermelli,DCermelli wrote a review Sep 2019,DCermelli,"The Hague, The Netherlands",253 contributions,73 helpful votes,Kuwait City - Johannesburg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710260545-Kenya_Airways-World.html,Kuwait - Johannesburg half good trip,Date of travel: May 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"The flight was delayed 14 hours, with no explanation. firstly a delay of 8 hours, I was put in a hotel and had to wake up at 5 am to get back tot he airport. Once I got there told the flight was delayed again. No organisation. When boarding eventually took place, it was chaotic and potentially dangerous. The ground staff had completely lost control and it was a massive crush to get on the aeroplane. Staff seemed completely disinterested. I have made three complaints on their website, no response which I think sums up this airline attitude to customer service. Avoid if possible.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/eb/43/default-avatar-2020-11.jpg,https://www.tripadvisor.com/Profile/mjdoherty909,Mike wrote a review Sep 2019,Mike,,1 contribution,1 helpful vote,Nairobi - Bangkok,International,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710122636-Kenya_Airways-World.html,Terrible utterly terrible,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"The Embraer 190 is a narrow-body short- to medium-range twin-engine jet airliners, carrying upto 124 passengers commercially,.The series has been a commercial success primarily due to its ability to efficiently serve lower-demand routes while offering many of the same amenities and features of larger jets",https://media-cdn.tripadvisor.com/media/photo-t/21/6f/ff/65/suren-d.jpg,https://www.tripadvisor.com/Profile/surend2013,Suren D wrote a review Sep 2019,Suren D,"Colombo, Sri Lanka",104 contributions,70 helpful votes,Nairobi - Juba,North Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r710102689-Kenya_Airways-World.html,Small but comfertable flight,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Kenya Airways is the national carrier for the East African country, operating out of the hub in Nairobi.  It flies to several countries in Africa as well as a range of destinations further afield.  It is not a great flight experience which would be ok if the price wasn't so high.The positives around Kenya Airways are the quick check-in.  The dedicated terminal in Nairobi for instance is incredibly quick with hardly any queues mid-morning on a weekday.  It is really easy to get around the small terminal although there is not a huge amount to do there.The on-board experience is ok but not quite as friendly as anticipated.  After being encouraged to take up an emergency exit seat given the need fo the row to be populated there was not really any friendly communication afterwards once the staff had got what they wanted.  Seating is uncomfortable.  The lining of the seat does not make for a great experience for a 3+ hour flight.  The fabric is not tight against the seat structure so creates slight friction.  The design is ugly in any case.  Legroom was ok with enough space for a normal-sized person in either a typical row or emergency exit row.The in-flight experience is minimal.  Food is included and on request a pre-ordered dietary requirement meal was grudgingly provided.  It was not great.  The food was pretty ropey to be honest.  Entertainment selection is limited.  There are not many options.  The television options were largely extremely dull lowest common denominator American comedies while the film selection to its credit did include 1 or 2 classics along with a small range of contemporary Hollywood, Bollywood, and a couple of other options.All the limitations would be fine if this was a moderate cost flight but it is really quite expensive.  A return flight Kinshasa-Nairobi is not cheap in the slightest and so at the price the quality is not good enough.",https://media-cdn.tripadvisor.com/media/photo-t/04/a0/62/7a/malarchy.jpg,https://www.tripadvisor.com/Profile/Malarchy,Malarchy wrote a review Sep 2019,Malarchy,"Vienna, Austria",844 contributions,609 helpful votes,Kinshasa - Nairobi,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r709840306-Kenya_Airways-World.html,Expensive but moderate quality,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"The flight from Nairobi to Cape Town via Livingstone was ordinary. The business class seats did not fully recline, there was no inflight entertainment system and the food was just okay.

With the stop over the flight is almost five to six hours and the business class seats should be more comfortable. On return, as Platinum members, we took economy class seats and had the first row (no. 11) allocated to us. Ironically we found these seats more comfortable because there was no middle seat passenger.

The aircraft was also a little old and needs refurbishment.

Have taken three flights on Kenya Airways in the past six weeks and the Nairobi to Cape Town flight was probably the worst.

Munir D.",https://media-cdn.tripadvisor.com/media/photo-t/1d/4e/7a/a0/munird2014.jpg,https://www.tripadvisor.com/Profile/munird2014,Munir D wrote a review Sep 2019,Munir D,"Toronto, Canada",613 contributions,295 helpful votes,Nairobi - Cape Town Central,Africa,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r709768180-Kenya_Airways-World.html,Ordinary flight,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"Unfortunately we got off to a bad start with Kenyan Airways as our flight out to Zanzibar, via Nairobi was delayed by 12 hours, with no real reason as to why. The airline did put us up in a nice hotel but unfortunately this meant we lost an entire day of our holiday! We of course missed our connecting flight and was thus scheduled on another one that gave us a lay over of more than 8 hours in Kenya Airport with 2 kids! This was just dismal as there is not much to do in the airport and the food etc. is very expensive. We made it through our time in the airport, JUST, with two changes to boarding passes as they changed the flight we were supposed to be on TWICE! We eventually left again after midnight for our flight to Zanzibar, now going via Dar e Salaam, another change in schedule! We landed in Dar after 2am, to wait 2 hours on the plane for one passenger to arrive to fly the 15 MINUTES to Zanzibar!! We finally got to our destination over 36 hours later than expected!! No apology or much explanation!!
Luckily our flights home went smoothly and we arrived ON TIME after 3 pleasant flights!
Unfortunately we hear now that Kenyan Airways is renowned for being late or cancelling flights!! Will think twice about flying with them again!!",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f1/b8/default-avatar-2020-22.jpg,https://www.tripadvisor.com/Profile/michellefH3985YY,Michelle F wrote a review Sep 2019,Michelle F,,10 contributions,1 helpful vote,Cape Town Central - Zanzibar Island,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r709674865-Kenya_Airways-World.html,Initially disastrous but saved by the trip home,Date of travel: July 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
It is nice to experience such a courteous and professional staff right down to their uniforms. This was the longest flight that I have ever been on and they made it as comfortable as possible.,https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/ed/ce/default-avatar-2020-7.jpg,https://www.tripadvisor.com/Profile/B6371RWtomk,Tom K wrote a review Sep 2019,Tom K,,3 contributions,2 helpful votes,New York City - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r709654011-Kenya_Airways-World.html,Kenya Airways,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"Employees who are immune to customer care standards. Long unexplained delay and no help with missed connsctions. I arrived at final destination 8 hours late.Food is despicable. Business class prices are high, but service like 1960s economy. Hope you can carry bags. Business lounge in Nairobi not friendly and not well stocked. Coffee broken at 8am. Food cold and staff argues with customers. Avoid this airline. This is my first and last trip on Kenya.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/59/default-avatar-2020-49.jpg,https://www.tripadvisor.com/Profile/fatca,fatcat wrote a review Sep 2019,fatcat,"Fort Mill, South Carolina",8 contributions,5 helpful votes,Accra - Nairobi,Africa,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r709325378-Kenya_Airways-World.html,Worst class service,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Worst experience in many years of travel. No priority line at check-in. Delayed flight 4 hours at check-in, made no accommodation to go ahead to rebook my transfer even on their own commuter.  I had to travel without knowing if I would be booked to final destination or when creating confusion and inconvenience for my pickup. No communication at gate for when flight would depart.( or if it may be cancelled) and the plane was at least 25 years old. Kenya business class service is more like basic economy on other airlines from 29 years ago.  Food was despicable. Who serves dinner at 1 am? Cold and tasted rubbery. On arrival it took 15 minutes to get  the stairs up to the plane. Workers had the stairs against the plane door so it would not open.That should have been obvious. Once in Nairobi had to argue with desk agent to get connection booked. And then had another 8 hours layover. My Visit to business lounge, I was questioned as to my validity to use this facility even with business class ticket. Once in lounge this food was also cold and limited. Not the standard experienced from other airline lounges. Never saw an employee smile anywhere on Kenya and never felt appreciated or even remotely welcomed. Lounge had dirty toilets. Needless to say. I will never fly this airline again. I would go out of my way to avoid it.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/59/default-avatar-2020-49.jpg,https://www.tripadvisor.com/Profile/fatca,fatcat wrote a review Sep 2019,fatcat,"Fort Mill, South Carolina",8 contributions,5 helpful votes,Nairobi - Kilimanjaro National Park,Africa,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r709316323-Kenya_Airways-World.html,No customer care,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_10
"Kenya Airways reminds me of flying in the 1960's or 70's.  They made a schedule change that we found out about on the flight and added a stop in Dar es Salaam which meant that our flight got in at 4:20 AM instead of 2:20 AM.  I almost got off in Dar because of their announcements.  Unfortunately, they are the only way to get to where I needed to be.  Two weeks later, my flight back was delayed almost 3 hours for no announced reason and I had to get my KLM tickets updated in Nairobi which was several long walks for no apparent reason.  Everyone warned me that KA runs on ""Africa Time"" and I can confirm it.  Make sure you don't have a close connection.My poor driver waited an additional two hours that he could have been at home sleeping.",https://media-cdn.tripadvisor.com/media/photo-o/0a/38/33/75/reno-d.jpg,https://www.tripadvisor.com/Profile/renod483,Reno D wrote a review Sep 2019,Reno D,"San Jose, California",107 contributions,57 helpful votes,Nairobi - Kilimanjaro National Park,Africa,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r709181420-Kenya_Airways-World.html,My flight was changed to a one-stop from no-stop with no warning. Typical,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_20
"Early boarding at Amsterdam for the full Kenyan Airways 788 to Nairobi gave us an on-time departure for a flight which ended with an on-time arrival in Kenya.  Informative commentaries by the First Officer in Kiswahili and English were supported by further announcements from the Cabin Purser albeit that the low volume from the Purser allowed few passengers to hear what was said.  Although service from the all-female African Cabin Crew, smartly attired in their smart crimson blouses and bright red trouser suits was satisfactory, they gave the distinct impression that they had to do the job rather wanted to do it!  At times, it was relatively lackadaisical although this may have partly reflected their culture rather than their motivation.  A basic, sufficient and tasty meal with Beef, Chicken and Vegetarian choices was served after take-off with hot/cold/alcoholic drinks although some seated at the rear of the aircraft were denied this full choice since service always commenced at the front and meals were slowly depleted as the crew moved rearwards.  Water rounds continued during the 7½ flight every 30 minutes and a small snack with hot/cold drinks was served an hour before landing.  Despite the 32” pitch and 18.5” wide seats, I was not entirely comfortable and room for manoeuvring was limited in the full cabin.  Kenyan Airways has the scrap line ‘The Pride of Africa’: this is erroneous for the airline service that I experienced certainly wasn’t although I had no complaints and would consider flying with the company again if the price matched other airlines.",https://media-cdn.tripadvisor.com/media/photo-t/10/fa/3d/80/simbal09.jpg,https://www.tripadvisor.com/Profile/Simbal09,Simbal09 wrote a review Sep 2019,Simbal09,"London, United Kingdom",160 contributions,109 helpful votes,Amsterdam - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r709035649-Kenya_Airways-World.html,As Good As Most,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"first time flying with Kenya Airways really enjoy the services and the luggage allowances ,The service was great ,,,very friendly and helpful staff,will definitely fly again with Kenya airways,",https://media-cdn.tripadvisor.com/media/photo-t/17/49/5a/67/enigma096.jpg,https://www.tripadvisor.com/Profile/Enigma096,Enigma096 wrote a review Sep 2019,Enigma096,"Romford, United Kingdom",46 contributions,22 helpful votes,London - Mahebourg,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r708636682-Kenya_Airways-World.html,very enjoyable,Date of travel: July 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"While the air hosts can change seats for occupants ,I found it rude to change people around and not communicate.A certain customer and I waited for so long to get an explaination why our seats which were next to each other were occupied by other people.Upon enquiry the flight attendant was at easy irrespective of the fact that we were so annoyed.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e9/bb/default-avatar-2020-65.jpg,https://www.tripadvisor.com/Profile/RMutodi,RMutodi wrote a review Sep 2019,RMutodi,"Kampala, Uganda",6 contributions,2 helpful votes,Harare - Entebbe,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r708511600-Kenya_Airways-World.html,Unapologetic Air hostes,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"The idea of going to sleep in Nairobi and waking up in NY is finally here.  We managed to capitalize on a 24-hour special offer by Kenya Airways a few months prior and got a fantastic deal on Business class on their direct flight.  The food, service and amenities are just superb.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/f2/b8/default-avatar-2020-26.jpg,https://www.tripadvisor.com/Profile/_shivona_tavares,_shivona_tavares wrote a review Sep 2019,_shivona_tavares,"Nairobi, Kenya",68 contributions,8 helpful votes,Nairobi - New York City,International,Business Class,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r708497082-Kenya_Airways-World.html,Direct flight to New York on Business class simply fantastic,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
"They have a great time keeping and service experience on this flight.

The boarding and arrival experience in Nairobi JKIA could be improved from the frequent use of buses for very short stints on the airside replaced with the use of the bride for ease of transfer to the terminal building.",https://media-cdn.tripadvisor.com/media/photo-o/07/1d/dd/9a/domondi.jpg,https://www.tripadvisor.com/Profile/domondi,domondi wrote a review Sep 2019,domondi,"Nairobi, Kenya",38 contributions,23 helpful votes,Nairobi - Juba,North Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r708485866-Kenya_Airways-World.html,The time keeping and service,Date of travel: September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
Seats were not very comfortable. Leg space as ok. Service staff was good and flight was punctual. Food was below average. No inflight entertainment.,https://media-cdn.tripadvisor.com/media/photo-o/12/80/7f/a6/karim-k.jpg,https://www.tripadvisor.com/Profile/469karimk,Karim K wrote a review Sep 2019,Karim K,"Dubai, United Arab Emirates",6 contributions,4 helpful votes,Dubai - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r708476887-Kenya_Airways-World.html,Lower than expected flying conditions,Date of travel: August 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_30
"Useful entertainment console in back of seat. Not much legroom on the Dreamliner, but quiet and fairly comfortable.",https://media-cdn.tripadvisor.com/media/photo-t/1a/f6/e4/2d/default-avatar-2020-48.jpg,https://www.tripadvisor.com/Profile/PaulA4881,Paul A wrote a review Sep 2019,Paul A,,4 contributions,,London - Nairobi,International,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r708459030-Kenya_Airways-World.html,Long flight,Date of travel: April 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_40
"Nice flight, Good customer care, very comfortable and organised. Though they should improve on flight delays.",https://media-cdn.tripadvisor.com/media/photo-o/15/03/fb/95/vaneessa-n.jpg,https://www.tripadvisor.com/Profile/vaneessan,vaneessa n wrote a review Sep 2019,vaneessa n,"Dubai, United Arab Emirates",18 contributions,,Entebbe - Nairobi,Africa,Economy,https://www.tripadvisor.com/ShowUserReviews-g1-d8729102-r708423392-Kenya_Airways-World.html,Awesome trip ever,Date of travel: July 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,ui_bubble_rating bubble_50
