Heading,Body,Star Rating,Date
Kenya Airways is excellent!…,"I recently travelled from London to Johannesburg return on Kenya Airways. The planes were comfortable, big windows. The cabin staff were friendly and efficient, the food was hot and well presented. All in all, a great experience. 👍",,2022-08-03T12:37:45.000Z
Kenya airways is poorly…,Kenya airways is becoming poorly service and they have no customer service nowthey keep changing our flight  three times without they update us and this is not the way Kenya airways should treat thier customersWe spent in the airport more than 24 hours No update no customer service no information I tried to call no one answers the call,1,2023-04-18T09:57:45.000Z
"A disaster, delay of 24h without explanation","A flight initially scheduled for 11:50 PM on December 31, 2023. Thanks to the SMS received, we understand that the flight is canceled and rescheduled for the next day at 6 AM, with no announcement made at the airport. We decide to sleep in the airport as they inform us that if we go to the hotel, the shuttle will pick us up at 3 AM. ""Wake-up call"" at 4:30 AM on the airport chairs (there are 5 of us, including grandparents). The flight is delayed to 11 AM with no information from Kenya Airways. We arrive at the announced gate, and to our surprise, the flight is further delayed to 1 PM. Some people have been in the airport for 3 DAYS due to constant flight delays. Tensions rise with Kenya Airways employees, who show NO reaction and provide NO answers to our questions. There are children, elderly individuals, and people with disabilities, yet Kenya Airways waits, hoping to fill its flight... An absolute disgrace; never fly with them. It's a communication and organizational catastrophe. How to start the year 2024 well, thanks to Kenya Airways!",,2024-01-01T11:02:59.000Z
16 hours of hell and no refunds,"Every time I've visited Africa I've used Kenya airways but as a Kenyan man myself I beg you to save your mental health if you wish to not be delayed for 16 hours in one day, denied boarding, kicked off a flight, have your group split up, forced to hand in my passport TWICE and wait two days for my next connecting flight. Without going into a detailed essay, I recommend you save your money because when they tell you that any drinks and food you spend during your delay will be refunded, IT IS A BIG LIE. 3 months later, 6 WhatsApp chats and 4 emails later I've been ignored, so rightfully so I claimed compensation for the missed flight and got £520 back using other websites.Update:I got £300 back but some sites do really give you £520 so look carefully.",,2023-12-15T11:21:44.000Z
"Tiny plane, cabin crew disinterested bordering on rude.","Tiny plane from MRU to Nairobi 4hrs+, no legroom, no food, cabin crew disinterested bordering on rude.AVOID AT ALL COSTS!!!WILL NEVER TRAVEL WITH THIS SHAMBOLIC RUDE OUTFIT AGAIN.",,2023-07-03T17:25:44.000Z
I travelled Business Class,"I travelled Business Class, it was dreadful. Check in OK, then I was directed to a small, horrible lounge. What was left of the hot food had clearly been sitting there for several hours and looked revolting. There was no ice for drinks. No boarding announcement. Staff lost in their phone. I later realised I should have been directed to a larger lounge next to the departure gateOn boarding I discovered I had not been allocated my window seat as booked. Seriously annoying. The general experience is lowest common denominator.Emirates and Qatar may be 20% more expensive but the are a million percent betterI deeply regret using Kenya airways. What's worse is the fact that I now have to make the return trip.If Trustpilot scored in negative stars the would rank the max.AVOID!!!!!!!!!!",,2022-02-26T06:48:21.000Z
If I could give a 0 I would,If I could give a 0 I would.  Firstly none of their entertainment electronics work.  They make un-scheduled stops. Their staff at security is rude. Their hostesses are rude.  I needed desperately to go to the bathroom and she told me to wait till she finished serving.  I should have just done my business on the seat. They cancelled my flight and are unwilling to refund my forced stay.  They are unavailable and are avoiding my emails.  DO NOT USE THEM!!!!!,,2023-12-13T12:30:38.000Z
Mombasa to Nairobi flight was delayed…,Mombasa to Nairobi flight was delayed for 1.5 hour the lady at the checkin Lillie her name was I think at Mombasa was the best she connected my luggage through and through to the uk on an Emirates flight which she didn’t have to do making the stress less at Nairobi airport Kenyans are Kenyans my people I love them she was really good with my mum who is disabled the best service Kenyans have a good heart thank you Lillie for making the trip comfortable,,2023-01-26T09:00:12.000Z
bumped off a flight with no warning.,We were bumped off a flight back in September …. We had already been issued boarding passes and at check in we were told someone else had now been allocated our seats.We were not offered accomodation or food vouchers and were told to leave the airport in Kampala at 2am in the morning…..We were out onto another flight via KLM 24 hours later.Upon complaining about this terrible ordeal where we had to find somewhere to sleep at 2am in the morning and could not return to the UK to work and take care of our children Kenya Airways agreed to compensate us with $300 each.It is now the end of January and they have not paid.Terrible airlineTerrible customer serviceTerrible ground crewAvoid,,2023-01-19T12:33:13.000Z
Worst airline I have ever experienced,"This is the worst airline I have ever travelled with. Absolutely appalling customer service. Our flight was cancelled from Johannesburg to Nairobi with less than 24 hours notice. This meant we would not make our connecting flight from Nairobi to London Heathrow. Only communication they sent was a very brief 'noreply' Whats app message. No phone number or email address for us to contact. Staff at service desks in the airport were unhelpful and disinterested. One of them was downright rude. At no point have we received an apology or explanation for the cancellation. We had no offer of food or accommodation. Eventually we found out we had been rebooked onto a flight the next day. However one member of our party needed to get back more urgently so was forced to book flights with another airline at cost of £600. The airline have ignored our many requests for a refund for that person's flight which legally is what they are supposed to provide, especially as they managed to rebook other customers into those seats so essentially have now taken money twice! They have also ignored our requests for compensation for the financial damage incurred in having to make alternative travel arrangements which again they are supposed to provide as per the Montreal Convention. The rest of us eventually made it back to London 24 hours later than planned after many hours spent in hot, sweaty airports. The ""Pride of Africa""! What a joke! Kenya Airways - you put Africa to shame:-( . Stay away from this airline at all costs. They are unreliable, unhelpful and downright criminal.",1,2024-05-16T01:29:19.000Z
Decent experience with Kenya Airways,"After reading awful reviews of Kenya Airways we were anxious about flying with the airline. But we had the best experience, from booking to landing.Everything went smoothly considering we flew over the Christmas period. Our flight left with a two hours delay, the seats in economy are a little narrow but enough leg room, not much difference with other airlines. We tend to fly economy and have to accept seats are not the most comfortable but hey…. Price reflects that. And we have more budget to spend on the actual holiday. The flight attendants were absolutely ok, polite, and relatively efficient. Plane food is very very rarely great so we bought sandwiches, treats at the airport. They served drinks during the flight. The toilets were pretty clean. One was out of service but that happens.On the way back the flight was 2 hours late too but they served drinks, etc and no big deal, they kept us updated.Both journeys our luggage was fine.When booking with Kenya Airways, one needs to bear in mind, they are flying with an african airline, after a pandemic that affected many many airlines. If you are used to luxury and wont « compromise » dont travel with Kenya Airways, we will travel again with them as flights are direct and experience was absolutely fine. On the way to Nairobi we learnt the flight in the afternoon was cancelled, so our experience would have likely been very different.",1,2024-01-04T12:41:53.000Z
Kenyan Airways is very disgusting,"Kenyan Airways is very disgusting. They lost my luggage of 23kgs with all my valuables. The whole airline company is stupid. The customer service people too are not helpful. Do not use this airline ever again, I repeat do not. Kenyans are theives and disgusting people. I am publishing my incident in the press",1,2022-09-04T14:24:31.000Z
Kenya Airways is part of the problem,Kenya Airways is part of the problem. My ticket from Cape Town 28/11 to Nairobi/Mombasa was cancelled because I didn’t fill requirements of fully vaccinated. Nothing of this had been communicated on Kenya Airways or Kenya- or Swedish embassy web pages. So 1/2 of Eur 600 I paid for the round trip ticket should be refunded. But this criminal company called Travelgenio decided to pocket that money instead of refunding me! This was their answer: “Thank you for contacting us. In reply to your request we inform you that partial refund is not allowed. Thank you for contacting us”.In addition I would say that Momondo as well as Kenya Airways are equally responsible for stealing my money using a shady agent in boosting their own revenue. And I will never use your services again. Shame on u!!!,1,2021-12-02T20:15:12.000Z
The worst flight experience ever.Terrible inflight food,The worst flight experience ever.They pack you into economy class like Sardines in a Tin..As for the inflight food..Awful ...After sitting on the plane for a considerable time due to one delay excuse or another with no air conditioning on .one passenger actually passed out and they had to call a Doctor.Unbelievable! ..So many hours pass by and we finally get air bourne.Passengers are hot and hungry..Kenya Airways serve for dinner a bun which looks like a donut with a small bit of meat or chicken in it.I couldn't believe it..And that's it for dinner..nothing else..Just before landing they serve another small slither of chicken with a bread roll..and that is your breakfast.....Fellow travellers reading this..I have never experienced from any airline such a total disregard for the welfare and comfort of it's passengers all in the persuit no doubt of profit,1,2022-06-21T18:12:39.000Z
Worst airline ever,"Worst airline ever . They delay their connecting  flight by 8-10 hours as a normal routine for them . No compassion even if your parents die they don’t care . Write to customer service no reply , write to management no reply . Well stay away for a few quid less you will end up pay more or no value",5,2023-01-20T13:08:36.000Z
HORRIBLE CUSTOMER SUPPORT!!!!! SCAMMY CANCELLATION POLICY!!!,"My ticket was booked with a small typo (1 additional letter), so I contacted Kenya Airways on the phone and told them about it. Their phone support said they could handle it for a $50 update fee if I emailed them, but their email support refused ""because it involved multiple airlines"" and then stopped all email correspondence. I contacted the other airlines involved in my flight myself and had no issue updating with them, but Kenya Airlines still refused. I ended up having to cancel my ticket, pay a **$400 CANCELLATION FEE** and rebook.This is my first time dealing with an airline with support this horrible. Most airlines don't even charge you to cancel within 24Hrs, but Kenya Airways had the nerve to charge me $400 for a cancellation 12 hours after booking because they refused to follow through with their name change policy.",,2024-02-02T00:31:45.000Z
Worst airline ever!,Worst airline ever!! Avoid!!We could not fly during the Covid as it was illegal to leave the UK and we are still waiting for a refund ever since.The customer service people are horrible. They are always making sure that when you phone you don't have all the details and information requested. Sometimes it looks like they are making excuses not to help you.I wish I hadn't booked with them.,,2022-09-22T15:03:24.000Z
Refund,I booked 2 tickets to Zimbabwe in April 2019.  This flight was cancelled.   I have written numerous to Flight Centre (which is who I booked through)    I keep getting replies that they cannot refund me until Kenya Airways repay the agent.    I know of quite a lot of people who had their flights cancelled and they have been refunded.    What is the problem with KLM??,,2021-05-24T12:02:24.000Z
My baggage was lost between CDG,"My baggage was lost between CDG, NBO, BGI. It’s been 3 weeks and I still have not received my bags. I have called the customer service line many times. The first time I was put on hold for 1 and a half hours. The next 3 times no one answered the ringing line for 15 min a piece. This is awful. We trust the airline with our safety, and handling of our baggage that carry our necessities for travel and we have our trust broken and feel helpless because we try to solve the issue but there is no one to resolve it at customer service. I do not recipe d flying this airline unless you would like to lose your bags and not have any type of assistance to recover it. Shame on this airline",1,2024-01-04T16:53:48.000Z
I am due to fly out with Kenya Airways…,"I am due to fly out with Kenya Airways 28th June 2023, I contacted the customer service and explained I have broken my ties if I could reschedule my flight 4 weeks time they said no avalible flight till Aug 14 2023 so I brought new tickets with a different airline. I then called Kenya airways to tell them they can sell my seats as INo longer need to fly with them as they said in our conversation they wouldn’t do anything else she then explained by the way if you don’t fly with us going I can’t return with my ticket? I found that very strange I have now lost my money have no return ticket? Very bad company. Don’t book with them everything is not straight forward their terms and conditions. If it was just one person travelling it’s fine we are 4 passengers they have no remorse",1,2023-06-24T21:04:59.000Z
Refund,We had booked a bussines ticket last November for a flight to Johannesburg. Yesterday I canceled the flight and today we already had our money back in the account. So great service,4,2023-07-26T21:20:36.000Z
WORST AIRLINE EVER,"WORST AIRLINE EVER!Our flight never took off the ground because of a faulty engine, we were made to wait 2 hours on the flight with no air con for no reason as we were not departing. No one communicated what was happening at the time!Since October 2023 I have fought for my £520 compensation, I went through a long drawn out email only appeal, to which the result was I needed to wait 30 - 60 WORKING DAYS for my refund. Which I did! Only to never receive my money. I have emailed. I have called! No one replies to me, the department I can contact says the department I need and who are dealing with are based in Kenya and their is no way to communicate other than email which I HAVE DONE and THEY DONT REPLY!ABSOLUTE SCAM! Should be ashamed of themselves, I am out of pocket for the damage they have caused and the sheer disregard they have for their customers. I would give a ZERO if I could. Horrific despicable company.",1,2024-02-14T16:13:31.000Z
Was feeling unwell on the plane so I…,"Was feeling unwell on the plane so I thought it would be useful to let the team onboard know. Instead of getting validation or any care, I was told exactly the following‘We’re not going to turn back for you so get off the plane if you aren’t feeling unwell.’I continued to say that I was unwell and may need a sick bag or get access to a toilet if there is a queue and he just kept saying ‘ we won’t land, or turn back’I just couldn’t believe the level of care. I understand they also have a protocol to follow about unwell passengers but atleast have some decency and express some validation and care that it was a hard situation for me.Safety video wasn’t played when we took off but then was played 2 hours before landing- it was broken and all TVs stopped for an hour.We were also circling the air before landing in Heathrow, London for 30 mins but only an update was given once saying we would be landing soon.Terrible food, disgusting treatment , never flying again with then",,2023-07-31T21:05:26.000Z
"I wish I could give No stars…,","I wish I could give No stars…,Bumped off a flight at 2am in the morning in Kampala.We had already been issued with boarding passes….We’re told to leave the airport and find our own accommodation and food and transport at 2am in the morning.We were put on a KLM flight the following day….When we complained we were promised a refund and compensation for not being taken care of and put up in a hotel etc.This happened in September 2022It is now July 2023.., no refund despite promise upon promise and apology upon apology…Even the customer service staff lie and cheat.I would rather just be told I won’t be receiving any promised money…They lies are insane.Literally the weirdest way to run  a business.Worst airline ever.Spend your money elsewhere with an airline that actually has some respect and value for their customers.",,2023-07-24T15:09:44.000Z
The worst customer service ever,"They damaged my bag and refused to let me fill out a form. When I eventually managed to force them to let me do that, they said to bring my bag to their service center even though I was just transiting in Nairobi, so not sure how they expected me to bring the bag to their service center...",,2023-07-31T21:18:03.000Z
Delays and more delays,"Delays and more delays. I had a 3 hour delay on my first flight, missed my connecting flight then had to wait at Nairobi airport for 5 hours, hope the next one is on time. They offer you an egg and toast with a cup of coffee, unbelievable that they don’t even offer a decent meal and some water at a bare minimum. The ground staff are so incredibly inefficient, 3 people at the desk helping one person, you would swear this is the first time they had to change a flight. With all of KQ’s delays I would assume not. The plane’s seats could also do with a cleaning. Its clear they have financial problems and are on the cheap. One suggestion would to try be on time as to not have to pay additional costs and then make an already bad experience worse with a dry egg and some toast. Rather just close down. Definitely not the pride of Africa!",,2023-09-26T09:47:39.000Z
Still waiting for refund,"Covid restrictions have impacted a lot of airlines understandably but that is no excuse to withhold money from your customers when flights are cancelled. I am still waiting for refunds for two additional payments made directly to Kenya Airways for cancelled flights in March and May 2021. I have called them on numerous occasions and I'm always told that the matter is being 'escalated'. The only thing that is escalating is my blood pressure over this injustice. Add to that that it sometimes takes over 45 minutes to get through to someone in the phone and that promised return calls are never made. I've stopped flying with them now, not a difficult decision given that they are not the cheapest flights to east Africa anyway.",,2022-02-07T11:30:58.000Z
Kenya Airways are the worst airline I…,"Kenya Airways are the worst airline I have experienced. They forgot to inform us that our flight time had changed and we missed our flight, then we tried to catch the connecting flight in Nairobi and the duty manager wanted us to bay £800 to get us on the flight. I was then left stranded in Nairobi and had to get back to the coast. Which lead to an o we stay with a case with immigration. To a car accident which then had our family do their best to fly us back to london. i am still awaiting the complaints team to respond with our compensation and how this ruined my life.On our flight back, three suitcases we broken in flight. Awaiting response and compensation. Worst airline. The customer care is none existence.",,2023-06-01T20:11:31.000Z
A never again experience,"I was in Cape Town, one day before my flight to Zanzibar.In the middle of the night while I was back to hotel, this was 2 am in the morning, I saw an email with a subject “flight alert”.Kenya Airways was letting me know about the “48 hours” connecting flight delay literally at the last minute. Miracilously managed to change this flight in the middle of the night, checked out, forgot stuff, nightmare.But this was not the end.They lost my kitebag at Nairobi and when it finally arrives to Zanzibar, several items were stolen from it.Still a radio silence after 15 days of the incident.Never again!",,2022-03-03T16:51:10.000Z
NO LUGGAGE AND NO COMPENSATION,"I would give these guys zero if I could.I purchased a ticket to Manchester from JHB, and part of the leg was a BA ticket.They lost my luggage a week ago and haven't heard from them.Kenya just blame BA and BA tell me they can't locate the luggage - now no one is reimbursing me.I don't have basic clothes, and all our coats were in that case.Kenya doesn't respond to my emails and keeps telling me it's BAs issue when I purchase the ticket through Kenya and BA won't take any responsibility.If you don't want to receive your luggage, then use these guys!!!ZERO ACCOUNTABILITY",1,2022-12-12T18:24:36.000Z
Kenya airways is the worst Airline you…,Kenya airways is the worst Airline you could ever think of flying with. The communication is poor. The customer service team is unhelpful which cost me another £745. I personally will never travel with this Airline again.,1,2022-08-29T13:25:39.000Z
Excellent efforts to re-issue a new…,Excellent efforts to re-issue a new ticket when the flight got delayed !! Special thanks to Mr Yash and Mr Ritesh at Mumbai Airport (T2),1,2023-02-06T22:47:22.000Z
Didn't load my suitcase,I was worried about my luggage being transferred in transit by Kenya Airways from Nairobi to London. But I shouldn't have worried - they didn't even bother to load it on the first flight from Lusaka!,,2022-11-23T09:43:58.000Z
"If you can avoid using them, do it!","If you can avoid using them, I would advise it. They changed our flight with no warning and we had to leave 2 days later. They didn't offer any compensation for the additional hotel costs we had as a result. I've written in a complaint and 2 months later I have had no response. Terrible service.",,2021-08-16T11:35:38.000Z
Worst airline I’ve ever dealt with,Appalling!No one from customer service ever gets back in touch!Been being fobbed off for months.Now out of pocket!NEVER book with this airline!,,2024-02-27T15:07:38.000Z
Worst service ever,"Worst service ever. Lost and delayed bags, no communication. No compensation. All the numbers don't work. Never fly kq especially going through Nairobi.",1,2023-12-24T22:08:15.000Z
Used to be a fan not anymore,"Used to be a fan not anymoreThey have lost my luggage and during process of trying to retriewe it given false information, not willing to state compensation a total diaster.Have friends who recently experienced the same so it seems to be a general problem. Use Another airline..",1,2023-03-02T09:59:40.000Z
I traveled from Dubai to Harare…,"I traveled from Dubai to Harare Zimbabwe on 20 May 2023 and my stays was only for 5 days as l had traveled for the weeding. My bag was left by Kenya airways in Kenya and l didn't  get the bag until l came back to Dubai. Up until now l am still waiting for the bag. I have wasted a lot of money phoning Kenya in Zimbabwe, Dubai and Kenya and the staff is very rude and they are not doing anything about my issue. I ended up failing to attend the weeding because the bag is still in Kenya. To be honest, l should not had traveled to Zim because the whole reason for traveling was to attend the weeding. I am now back in Dubai and even the staff here in Dubai Kenya is arrogant and they are not assisting me .Book Kenya airways at your own risk",,2023-05-27T08:59:53.000Z
1 choice of meal which was soggy and cold. Had 13 UK police officers waiting on arrival but was dismissed by the police. Indifferent crew. Avoid this airline,1 choice of meal which was soggy and cold. Had 13 UK police officers waiting on arrival for accusations of vaping but dismissed by the police. Indifferent crew. Avoid this airline,,2022-05-20T19:27:21.000Z
Mis sold,"Mis sold. Told we can rebook before 2021 May 12 for free up to one year from date of rebooking. We have two witnesses to this. Agent denies everything. If they hadn't lied we wouldn't have bought the ticket. Mis sold. Was told by Kampala office that refund request would fail. They are crooks.If Trustpilot ask us to prove we are customers, we will.",,2021-04-14T17:42:44.000Z
Flight New York to Johannesburg via…,"Flight New York to Johannesburg via Nairobi. Flight was delayed but we were notified by email. Food was shocking  quality: stale bread roll, grey salty meat, grey vegetable. Water given in small plastic cup about 120ml. No diet drinks at all.  Bathroom was filthy on first leg with sticky floors. Second leg was clean. Nairobi airport was chaos. Flight delayed. Security very poor  ( i had stuff stolen off the security conveyor belt where trays are so small you need many and this allows opportunistic thieves a chance to grab stuff as it takes a long time for the many trays to pass so you lose sight of your stuff) No control over pushing passengers at security check points or when off loading plane. No information staff visible in airport or when disembarking. Basically you are on your own with no one to ask and poor signposting. When we finally encountered any assistant staff they were bored and entertaining themselves on their cellphones at their desks. This is a budget airline. We have used it 3 times. The price is attractive, the service was not. We decided that it was better to pay more. We won't use them every again.",1,2023-01-13T07:27:36.000Z
Never book online with Kenya Airways,"Missed outward leg of a return flight, due to issue with KA website. Accepted loss here, though honestly feel website more than 50% responsible.  Problem was return leg automatically cancelled.  Engaged from two weeks before flight with what is inexplicably called 'customer support', and still had to pay again at the last minute to get a flight back to Nairobi. Total loss considerably more than the original return flight total.Customer service agents, while courteous and polite, seem to assume that customers will have an  understanding of the rules and practices of the dystopian KA universe.  No useful information is provided.It also appears that agents do not have the authority to actually resolve anything. Therefore, they do not really engage with an issue, but dole out meaningless bland reassurances.Thankfully there are alternatives to KA, both externally and internally.",1,2023-04-30T14:15:12.000Z
Tried to book flights on their internal…,"Tried to book flights on their website.  Made an error on the booking.  Tried to go back and they system would not allow me to.  So after much frustration, I cancelled/clicked on refund.  They only refunded about 5 (five) percent of the ticket value.  I had only just paid for it.   Complete rip off.",,2023-08-27T19:24:01.000Z
The truth,"The truth is they are nor good or bad, they are ok. I had a flight and they behave alright, indeed some clients were not satisfied by their customer service .",,2022-01-22T08:49:43.000Z
This airline is a joke,"Our flight from London to Seychelles with the stopover in Nairobi was delayed by two and a half hours and there was no apologies from their side. On top of that we didn't make it to our final destination,as we missed the flight because of the delay,caused by operational issues. Then we were left alone at the airport for over 5 hours with the staff ignoring our requests for water or any snacks or a place to stay. We've been also told to apply for a Kenyan visa,so they could book the accommodation for us,but the system was down,so we had to wait again. Another thing is that the employees are incompetent and don't know what to do and there were different answers to the same questions. One more issue with them,is that if you want to claim your luggage, you have to request it and someone will approve or deny it within the our and if you've been lucky enough and your request was approved you will wait another couple of ours to get it. I almost forgot,that they offered us to rebook our return tickets by two days,but then denied it.",,2023-11-05T03:41:06.000Z
Cancelled Flights.,"Cancelled Flights.Travelling from Lusaka, Zambia on the 30/03 on the 00.45 flight, we only knows of the 8ths delay till we got to the airport. We were asked to come back at 5hrs. We got back and got on a flight. But we missed the connecting flight to Lisbon. It meant we had to spend a night in Nairobi. As  Business Class passengers we were taken to a hotel to spend the day! It was a desperate hotel, poor food, tacky decor and far from the airport. We didn’t understand why we were not accommodated in Crowne Plaza or any of the airport hotels. We spent the rest of the day there feeling very uncomfortable. They rerouted us through France because we had missed the connecting flight. Air France was great as usual and on time.Today 14/04,  we have travelled from Portugal to connect to Zambia. We came on KLM and it was in time to Amsterdam. We were supposed to connect at 20.35 but the flight is delayed till 22.35. Very cleverly done, just under 2 hrs so that the airline doesn’t have to pay compensation. It means we will miss our connecting flight from Nairobi to Lusaka at 7.40 tomorrow morning. I think it is time we quit Kenya Airways the Pride of Africa!",,2024-04-14T16:21:25.000Z
Paid an extra £ 500 for round trip and…,Paid an extra £ 500 for round trip and comfort seats only to be seated in seats that never reclined asked crew to fix them and the couldn’t wrote to Kenya airlines for a refund with no reply DO NOT FLY On them.,,2023-03-20T22:59:49.000Z
Kenya Airways gives run around when trying to get a refund for a flight they cancelled,"After a ""flight disruption"" from Kenya Airways neither the airline nor Travelgenio will refund me for services not deliveredAfter a ""flight disruption"" from by Kenya Airways,with no alternative flights bookable despite them saying so, and after waiting a year, for monetary compensation and not vouchers, something the airline said they would do, they have now passed the buck to the travel agency stating the ""office of issue"" is with them and not the airline that cancelled the flightIf I had cent for every support case incedent number, I would have had my money back for the service they did not provide!",,2021-03-10T06:31:03.000Z
Hi when was at Heathrow had confirmed…,Hi when was at Heathrow had confirmed all seats to be alie seats on my return from mombasa my ticket from Nairobi to lhr was changed. Totally not acceptable. When I did online checkin only allowed me to do the my flight to mombasa,,2022-08-27T07:40:12.000Z
Can I give less than one star?,Can I give less than one star?My luggage is missing. Our touroperator from Fti keeps asking me for the same information over and over again. I’m in Kenya now for 11 days without luggage.,1,2023-01-15T12:39:33.000Z
"Delayed baggage, and poor customer service","Flew from Manchester to Mombasa with Kenya Airways, 6 pieces of luggage were delayed upon arrival, and it took Kenya Airways over 3 days to return them to us. We had to make our own arrangements to collect the luggage which all arrived separately, this meant multiple trips back and forth to the airport at our own expense.Claiming the first needs payment was extremely challenging, very poor contact from the baggage and customer service team. The WhatsApp and email channels are useless, it's as though we were speaking to a robot with the same standard generic responses.In addition to the above, the flight was cramped, uncomfortable and the food was very poor quality - I am unlikely to visit Kenya again so fortunately will never have to fly with this airline again.",4,2022-10-10T16:32:16.000Z
The food was absolutely disgusting,The food was absolutely disgusting. The seats were rock hard and I flew in economy plus. I would never fly with this airline again. It was an awful experience.,1,2023-09-03T10:58:54.000Z
Really poor service,"Really poor service, the crew was not friendly. I had my flight was delayed and we were not even informed! When we boarded, the crew and attendants turned out to be rude. No food was provided to us even after we had to wait 5 additional hours. It was just a horrible experience for me.",1,2023-09-18T20:39:48.000Z
Worst airline when it comes to cancellations/ refunds,"I booked a flight through budget air last year in Oct which was cancelled on short notice very close to my flight date and the options given to me had minimum 4 day lay overs. I decided to request for a refund, little did I know that this was going to take ages. Budget air was also very unresponsive and kept saying kQ was taking care of my refund.  6 months later, I now receive a notification that my tickets are not refundable !!!! What happened to the policy that was running before today? What happened to the refund that was being processed for over 6 months???? Where is my money?? Well, I have been given two options , a travel voucher and something else I’m not even sure about. And they still did not give guidance of what I need to do to ensure I benefit from my own money before their policy changes again!! This right here is the worst airline when it comes to cancellations and processing refunds. Stay away!!",1,2021-04-12T03:53:43.000Z
"RUINED OUR HONEYMOON, LOST $ 4,000 & THEY ALMOST KILLED MY WIFE","Kenya Airways ruined our honeymoon. When in the LHR airport ready to go to Mauritius, Kenya Airways cancelled the ticket of my wife without notice because she tried to change the departure date but finally changed her mind. We couldn't believe it. We bought a second ticket so we could have the same flight at $1,600 1h before departure and again, these disgusting i diots didn't issued the ticket. Result? I took the plane to avoid losing more money and my wife crying alone in LHR airport and buying a 3rd ticket with Emirates at an additional $1,500. On top of this, they have NO email and only a KENYAN phone number in which I spent $400 and the people in the call centre as didnt know what to do, they silently hang up on me!?!!!. In the return to London, the Kenya Airways i diots forgot to put the thermostat at a decent temperature and most of the passage was complaining of high heat during 8h. My wife fell unconscious and needed to take them to the back of the plane to pour water on her. 1h after she woke up disoriented (heat stroke in the plane). i just cant believe it. I wish them ill. Thieves, bad human beings, unprofessional. PLEASE DONT USE THEM.MS5LVA – Ticket number : 706 2303610309",1,2022-11-06T23:51:51.000Z
KEYNA AIRWAYS WILL SCAM YOU!!!,"KEYNA AIRWAYS WILL SCAM YOU!!!After a business class ticket was paid in full, a simple refund was requuested. After struggling for a week to finaly get the refund requested, I was told it would take 21-30 days. We are now 90+ days later, 50 email, 100 phone calls and Kenya Airways REFUSES to even answer an email, let alone give the refund.If you try to call them, they will just put you on constant hold, or say they have to call you back, and you will never get a call back. They refuse to answer emails.This company is horrible, DO NOT USE THEM. THEY WILL STEAL YOUR MONEY!!! DO NOT USE THIS AIRWAYS.",1,2023-09-01T08:28:10.000Z
Ticket money almost lost,Changed my cancelled flight to an open ticket. If you want to use the open ticket for a new booking you have to call the service desk in Nairobi. They make the new booking after you pay the fee. Mine was 195 USD.Nobody is telling you how to do it. A good friend in Nairobi helped me.Train your support center better!,1,2023-12-24T11:39:28.000Z
Kenya Airways is one of the worst…,"Kenya Airways is one of the worst airlines i have come across! We purchased tickets prior to the COVID pandemic, however as the pandemic came through we were unable to fly!We have contacted them for a refund they have asked us to speak to the agent. The agent has gone bankrupt due to the COVID situation, they have closed shop and are no where to be located.I asked them for a voucher, no help. They have a whats app line, again no help. On the Whats app line they take more than 20 minutes to answer one question.I have paid, the agent gave me proof that Kenya airways was paid. Yet they are not willing to understand. They are in the travel industry, they themselves know that many agencies have closed down. Its a world wide pandemic, however they refuse.This is theft and its unfortunate that IATA doesn't get involve in these things!",1,2021-08-26T09:51:46.000Z
I will never use this route for my…,"I will never use this route for my travel.  I travelled with my friend just for a holiday on way to Manchester, UK. We were returned in Kenya and told that we had to bring an exempt letter for VISA. We Explained that we do not need VISA to the UK. Slept on the hard chairs for 2 days (4 & 5 January) and was returned to Johannesburg. Slept again on hard chairs (6 january) in Joburg because they did not put my bag in the flight. We were told that we will be refunded for the part we did not use for the flight but when we emailed about the issue, we were told we will not be refunded. We were tossed around being told that our passports were empty that we did not travel before.  I called my sister to send pictures from my old passport that showed that I travelled to USA, Asia & Europe. When I got pictures to show them, they were not interested in them. I experienced horror with Kenyan Airways, I can produce a book because I can not write all here.",1,2023-07-27T23:50:26.000Z
TERRIBLE,"TERRIBLE! Do not use this airline if you can manage it. Unprofessional, chaotic, terrible service and shocking experience, bad customer service if anything goes wrong.My flight out of Nairobi was cancelled at the last minute - The passengers were told an hour after take off time. Replacement flight was 11hrs later. Then proceeded to get us a hotel where to leave the airport we had to hand in our passports and hope for the best. As a group of us refused we were left to figure it out. Slept in the airport until 5am when the transfer desk opened and begged to be put on the next available flight. No food vouchers were provided. Around 8am we are told there is no replacement flight only one at the same time we were due to fly the night before so 24 hours later than when we were supposed to fly. Luckily, managed to get on an earlier flight and get out of there. The remainder of the passengers (who took hotel option) not so lucky. The airline staff were not truthful and didn’t seem to know what they were doing!!!",2,2023-01-28T23:42:35.000Z
I booked a flight but cancelled it…,"I booked a flight but cancelled it within 24 hours. According to the rules you don't get a refund. Unless you live in America, Why is this? And why is this rule in the first place? Now they have the money i spent for that seat and they will sell it again. I was hoping for some coulance but no way. (Kenya Airway's is not the only airline with these sort rediculous rules, but that is another story)",1,2023-10-13T10:24:45.000Z
